Label,x,y,z
2492,99.566666,51.323997,92.319595
2493,99.737488,51.423306,88.509544
2494,99.933243,51.537109,84.663345
2495,100.156921,51.667152,80.781151
2496,100.411697,51.815269,76.863831
2497,100.70433,51.985405,72.870079
2498,101.033958,52.177055,68.856506
2499,101.395241,52.387104,64.916267
2500,101.789536,52.616352,61.038555
2501,102.232391,52.873837,57.097393
2502,102.729851,53.163071,53.066483
2503,103.273041,53.478886,49.043911
2504,103.86142,53.820984,45.036697
2505,104.493668,54.188591,41.050896
2506,105.167755,54.580521,37.091564
2507,105.880997,54.995224,33.162834
2508,106.630264,55.430874,29.268017
2509,107.412048,55.885433,25.409721
2510,108.222626,56.356731,21.590023
2511,109.041679,56.832958,17.882635
2512,109.876854,57.318558,14.236109
2513,110.754715,57.828979,10.522099
2514,111.650757,58.349976,6.834956
2515,112.617149,58.911877,2.961358
2516,98.614594,50.770649,158.240524
2517,98.614616,50.770664,158.19136
2518,98.614662,50.770695,157.969086
2519,98.614594,50.77066,158.249512
2520,98.614616,50.770672,158.170212
2521,98.614746,50.770741,157.75264
2522,98.614662,50.770691,158.02037
2523,98.61451,50.770607,158.604721
2524,98.614517,50.770615,158.575592
2525,98.614441,50.770576,158.960144
2526,98.614441,50.770569,158.98407
2527,98.614494,50.770599,158.662994
2528,98.614502,50.770603,158.63385
2529,98.614433,50.770569,159.00798
2530,98.614433,50.770565,159.031906
2531,98.614746,50.770741,157.769135
2532,98.614761,50.770756,157.729691
2533,98.614624,50.770683,158.123123
2534,98.614624,50.770672,158.157425
2535,98.614784,50.770767,157.690231
2536,98.614792,50.770779,157.650787
2537,98.614655,50.770699,158.054504
2538,98.614647,50.770691,158.088806
2539,98.614502,50.770611,158.662003
2540,98.614494,50.770607,158.688507
2541,98.614479,50.770599,158.737
2542,98.614433,50.770569,159.005692
2543,98.61454,50.770626,158.485977
2544,98.614487,50.770607,158.715027
2545,98.614388,50.770546,159.326752
2546,98.614388,50.770546,159.308105
2547,98.614349,50.770531,159.704651
2548,98.614349,50.770531,159.718018
2549,98.614388,50.770546,159.289429
2550,98.614388,50.77055,159.270767
2551,98.614349,50.770531,159.677902
2552,98.614349,50.770531,159.691269
2553,98.614349,50.770527,160.154236
2554,98.614349,50.770527,160.161392
2555,98.614349,50.770527,160.168533
2556,98.614349,50.770527,160.175674
2557,98.614388,50.770542,159.401413
2558,98.614388,50.770546,159.382751
2559,98.614365,50.770531,159.758148
2560,98.614365,50.770531,159.771515
2561,98.614388,50.770546,159.36409
2562,98.614388,50.770546,159.345428
2563,98.614365,50.770531,159.7314
2564,98.614365,50.770531,159.744781
2565,98.614357,50.770527,160.182816
2566,98.614357,50.770527,160.189972
2567,98.614357,50.770535,160.197128
2568,98.614357,50.770535,160.204269
2569,98.615936,50.771416,155.444305
2570,98.615959,50.771439,155.512817
2571,98.616188,50.771576,155.320969
2572,98.616486,50.771744,154.89621
2573,98.615387,50.771111,156.387589
2574,98.615479,50.771172,156.273285
2575,98.614967,50.770874,157.235184
2576,98.615013,50.770901,157.172409
2577,98.615112,50.770962,156.937469
2578,98.614922,50.770844,157.325989
2579,98.61496,50.770863,157.263199
2580,98.615051,50.77092,157.035019
2581,98.614899,50.770824,157.367996
2582,98.614929,50.770844,157.251648
2583,98.615326,50.771072,156.400009
2584,98.615074,50.77092,156.939438
2585,98.617577,50.772373,153.791794
2586,98.617279,50.772186,153.802811
2587,98.619713,50.773594,151.892654
2588,98.618187,50.772717,153.055634
2589,98.62265,50.775291,150.042755
2590,98.628845,50.77887,147.025955
2591,98.63739,50.783813,143.926971
2592,98.648598,50.79031,140.778229
2593,98.662781,50.798538,137.596146
2594,98.680405,50.808758,134.378922
2595,98.701912,50.821243,131.124634
2596,98.727859,50.836311,127.83123
2597,98.758873,50.854313,124.49659
2598,98.795639,50.875664,121.118454
2599,98.838943,50.900822,117.694427
2600,98.891075,50.931103,114.140495
